,fs_method,fs_method_kwargs,n_selected_features,score,time,codecarbon_task_id,data_dir,extractor,vm,objective_fn,target_col,num_features
0,LowerBound,{},1,9.683327529481292e-05,0.10249519348144531,task_0,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
1,LowerBound,{},1,0.0033946575930886005,0.10104656219482422,task_1,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
2,LowerBound,{},1,0.6326459969650021,0.10141611099243164,task_2,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
3,LowerBound,{},1,17.39557277460487,0.10290026664733887,task_3,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
4,LowerBound,{},1,34.394427187775385,0.11340665817260742,task_4,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
5,LowerBound,{},1,54.03425197147523,0.10466861724853516,task_5,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
6,LowerBound,{},1,9.82888767895405,0.10132169723510742,task_6,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
7,LowerBound,{},1,20.824165364404045,0.101837158203125,task_7,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
8,LowerBound,{},1,91.72761065283171,0.11035513877868652,task_8,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
9,LowerBound,{},1,3.731117928036749,0.1280839443206787,task_9,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
10,LowerBound,{},1,12.955952714555234,0.10579061508178711,task_10,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
11,LowerBound,{},1,2.744859171555202,0.12979912757873535,task_11,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
12,LowerBound,{},1,20.70001159804607,0.11055731773376465,task_12,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
13,LowerBound,{},1,27.419101110071978,0.10131430625915527,task_13,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
14,LowerBound,{},1,12.960202583780244,0.10426163673400879,task_14,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
15,LowerBound,{},1,2.2242279065338573,0.12744379043579102,task_15,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
16,LowerBound,{},1,9.683327529481292e-05,0.10022926330566406,task_16,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
17,LowerBound,{},1,0.0033946575930886005,0.10051870346069336,task_17,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
18,LowerBound,{},1,0.6326459969650021,0.09928631782531738,task_18,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
19,LowerBound,{},1,17.39557277460487,0.10673022270202637,task_19,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
20,LowerBound,{},1,34.394427187775385,0.10660791397094727,task_20,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
21,LowerBound,{},1,54.03425197147523,0.10491728782653809,task_21,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
22,LowerBound,{},1,9.82888767895405,0.10840129852294922,task_22,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
23,LowerBound,{},1,20.824165364404045,0.10313034057617188,task_23,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
24,LowerBound,{},1,91.72761065283171,0.10489201545715332,task_24,data/polcom/2022/Y/offline,tsfel,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
25,LowerBound,{},1,3.731117928036749,0.1275646686553955,task_25,data/polcom/2022/Y/offline,tsfel,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
26,LowerBound,{},1,12.955952714555234,0.1038048267364502,task_26,data/polcom/2022/Y/offline,tsfel,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
27,LowerBound,{},1,2.744859171555202,0.1288621425628662,task_27,data/polcom/2022/Y/offline,tsfel,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
28,LowerBound,{},1,20.70001159804607,0.1080482006072998,task_28,data/polcom/2022/Y/offline,tsfel,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
29,LowerBound,{},1,27.419101110071978,0.10357427597045898,task_29,data/polcom/2022/Y/offline,tsfel,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
30,LowerBound,{},1,12.960202583780244,0.10381937026977539,task_30,data/polcom/2022/Y/offline,tsfel,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
31,LowerBound,{},1,2.2242279065338573,0.12952852249145508,task_31,data/polcom/2022/Y/offline,tsfel,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
32,LowerBound,{},1,9.683327529481292e-05,0.10249900817871094,task_32,data/polcom/2022/Y/offline,tsfresh,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
33,LowerBound,{},1,0.0033946575930886005,0.1007242202758789,task_33,data/polcom/2022/Y/offline,tsfresh,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
34,LowerBound,{},1,0.6326459969650021,0.10958313941955566,task_34,data/polcom/2022/Y/offline,tsfresh,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
35,LowerBound,{},1,17.39557277460487,0.0988311767578125,task_35,data/polcom/2022/Y/offline,tsfresh,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
36,LowerBound,{},1,34.394427187775385,0.10850691795349121,task_36,data/polcom/2022/Y/offline,tsfresh,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
37,LowerBound,{},1,54.03425197147523,0.10336661338806152,task_37,data/polcom/2022/Y/offline,tsfresh,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
38,LowerBound,{},1,9.82888767895405,0.1025848388671875,task_38,data/polcom/2022/Y/offline,tsfresh,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,1
39,LowerBound,{},1,20.824165364404045,0.10367774963378906,task_39,data/polcom/2022/Y/offline,tsfresh,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,1
